ActivityID,EquipmentID,ActivityFunction
a91fbdd2-98ee-11e9-a329-0028f8be90af,a91cd7f4-98ee-11e9-8f98-0028f8be90af,Loader
a91fbdd2-98ee-11e9-a329-0028f8be90af,a91cd7f6-98ee-11e9-aa70-0028f8be90af,Mover
a91fbdd2-98ee-11e9-a329-0028f8be90af,a91cd7f5-98ee-11e9-9c69-0028f8be90af,Unloader
a91fbdd3-98ee-11e9-be9c-0028f8be90af,a91cd7f4-98ee-11e9-8f98-0028f8be90af,Loader
a91fbdd3-98ee-11e9-be9c-0028f8be90af,a91cd7f7-98ee-11e9-92b3-0028f8be90af,Mover
a91fbdd3-98ee-11e9-be9c-0028f8be90af,a91cd7f5-98ee-11e9-9c69-0028f8be90af,Unloader
a91fbdd4-98ee-11e9-8ac2-0028f8be90af,a91cd7f4-98ee-11e9-8f98-0028f8be90af,Loader
a91fbdd4-98ee-11e9-8ac2-0028f8be90af,a91cd7f6-98ee-11e9-aa70-0028f8be90af,Mover
a91fbdd4-98ee-11e9-8ac2-0028f8be90af,a91cd7f5-98ee-11e9-9c69-0028f8be90af,Unloader
a91fbdd5-98ee-11e9-b2d3-0028f8be90af,a91cd7f4-98ee-11e9-8f98-0028f8be90af,Loader
a91fbdd5-98ee-11e9-b2d3-0028f8be90af,a91cd7f7-98ee-11e9-92b3-0028f8be90af,Mover
a91fbdd5-98ee-11e9-b2d3-0028f8be90af,a91cd7f5-98ee-11e9-9c69-0028f8be90af,Unloader
a91fbdd6-98ee-11e9-861c-0028f8be90af,a91cd7f4-98ee-11e9-8f98-0028f8be90af,Loader
a91fbdd6-98ee-11e9-861c-0028f8be90af,a91cd7f6-98ee-11e9-aa70-0028f8be90af,Mover
a91fbdd6-98ee-11e9-861c-0028f8be90af,a91cd7f5-98ee-11e9-9c69-0028f8be90af,Unloader
a91fbdd7-98ee-11e9-b22c-0028f8be90af,a91cd7f4-98ee-11e9-8f98-0028f8be90af,Loader
a91fbdd7-98ee-11e9-b22c-0028f8be90af,a91cd7f7-98ee-11e9-92b3-0028f8be90af,Mover
a91fbdd7-98ee-11e9-b22c-0028f8be90af,a91cd7f5-98ee-11e9-9c69-0028f8be90af,Unloader
a91fbdd8-98ee-11e9-ab66-0028f8be90af,a91cd7f4-98ee-11e9-8f98-0028f8be90af,Loader
a91fbdd8-98ee-11e9-ab66-0028f8be90af,a91cd7f6-98ee-11e9-aa70-0028f8be90af,Mover
a91fbdd8-98ee-11e9-ab66-0028f8be90af,a91cd7f5-98ee-11e9-9c69-0028f8be90af,Unloader
